funder,tax_year,schedule,recipient,recipient_ein,city,state,amount,amount_noncash,noncash_desc,purpose,source
The Ahmanson Foundation,2024,990-PF-XV,ROMAN ARCHBISHOP OF LOS ANGELES,,LOS ANGELES,CA,6300000,,,FOR ACQUISITION OF PROPERTY FOR THE BENEFIT OF ST. GENEVIEVE SCHOOL,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,LOS ANGELES CTY MUS OF NAT HIST,,LOS ANGELES,CA,5000000,,,TOWARD PRELIMINARY COSTS FOR THE REIMAGINING LA BREA TAR PITS PROJECT,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,THE COLBURN SCHOOL,,LOS ANGELES,CA,5000000,,,TOWARD CONSTRUCTION OF THE COLBURN CENTER,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,MEXICAN AMER LEG DEF & EDU FD,,LOS ANGELES,CA,2000000,,,TOWARD REPLACEMENT OF THE HVAC SYSTEM AT THE LOS ANGELES HEADQUARTERS,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,CHILDRENS INSTITUTE INC,,LOS ANGELES,CA,1500000,,,TOWARD THE UPGRADED HUMAN RESOURCES SYSTEM WORKDAY,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,DISCOVERY SCIENCE CENTER OF LA,,SYLMAR,CA,1500000,,,WILDLIFE CAROUSEL AND OUTDOOR AMPHITHEATER AS PART OF THE STEM COURTYARD EXPANSION PROJECT,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,VOLUNTEERS OF AMERICA INC,,LOS ANGELES,CA,1500000,,,TOWARD CONSTRUCTION OF 50 UNITS OF TRANSITIONAL HOUSING FOR PREGNANT OR POSTPARTUM TRANSITION AGED YOUTH,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,CREIGHTON UNIVERSITY,,OMAHA,NE,1000000,,,TOWARD RENOVATION OF CREIGHTON HALL,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,HENRY E HUNTINGTON LIB & ART GAL,,SAN MARINO,CA,1000000,,,TOWARD LIBRARY RENEWAL,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,HENRY E HUNTINGTON LIB & ART GAL,,SAN MARINO,CA,1000000,,,TOWARD LIBRARY RENEWAL,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,PASADENA HOSPITAL ASSOCIATION LTD,,PASADENA,CA,1000000,,,TOWARD A NEW CT SCANNER,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,PEOPLE ASSISTING THE HOMELESS,,LOS ANGELES,CA,1000000,,,FOR HVAC UPGRADES AT SIX BUILDINGS AND EQUIPPING A CENTRAL OFFICE SPACE WITH FURNISHINGS AND SECURITY,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,AMERICAN NATIONAL RED CROSS,,LOS ANGELES,CA,880000,,,TOWARD RENOVATION OF THE PALMDALE SITE,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,LEGAL AID FOUNDATION OF LOS ANGELES,,LOS ANGELES,CA,750000,,,TOWARD CONSTRUCTION OF THE NEW EAST LOS ANGELES OFFICE,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,VILLA ESPERANZA SERVICES,,PASADENA,CA,750000,,,"TOWARD CONSTRUCTION OF AN OCCUPATIONAL THERAPY CLINIC, SPORTS AND THERAPEUTIC CENTER, AND THREE CLASSROOMS",https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,ALTAMED HEALTH SERVICES CORP,,LOS ANGELES,CA,704000,,,FOR MEDICAL EQUIPMENT FOR THREE PACE SITES,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
