funder,tax_year,schedule,recipient,recipient_ein,city,state,amount,amount_noncash,noncash_desc,purpose,source
The Annenberg Foundation,2024,990-PF-XV,THE WALLIS ANNENBERG LEGACY FOUNDATION,,PLAYA VISTA,CA,11603575,,,CHARITABLE MISSION AND PROGRAMS,https://projects.propublica.org/nonprofits/full_text/202543219349108909/IRS990PF
The Annenberg Foundation,2024,990-PF-XV,NATIONAL WILDLIFE FEDERATION,,RESTON,VA,4000000,,,WILDLIFE CROSSING INITIATIVE,https://projects.propublica.org/nonprofits/full_text/202543219349108909/IRS990PF
The Annenberg Foundation,2024,990-PF-XV,PHILADELPHIA ORCHESTRA ASSOCIATION,,PHILADELPHIA,PA,2680404,,,"ARTISTIC ENDEAVORS FUND, TOURING FUND, ED FUND AND TECH FUND",https://projects.propublica.org/nonprofits/full_text/202543219349108909/IRS990PF
The Annenberg Foundation,2024,990-PF-XV,ANIMAL WELLNESS FOUNDATION,,MARINA DEL REY,CA,2200000,,,DESIGN AND OPERATION OF THE DOG BLESS YOU DOGGY DAY CARE,https://projects.propublica.org/nonprofits/full_text/202543219349108909/IRS990PF
The Annenberg Foundation,2024,990-PF-XV,WALLIS ANNENBERG CENTER FOR THE PERFORMING ARTS,,BEVERLY HILLS,CA,1428572,,,THE WALLIS ARRIVES: A COMPREHENSIVE CAMPAIGN,https://projects.propublica.org/nonprofits/full_text/202543219349108909/IRS990PF
The Annenberg Foundation,2024,990-PF-XV,FALLEN JOURNALISTS MEMORIAL FOUNDATION,,VIENNA,VA,1300000,,,FALLEN JOURNALISTS MEMORIAL,https://projects.propublica.org/nonprofits/full_text/202543219349108909/IRS990PF
The Annenberg Foundation,2024,990-PF-XV,CEDARS-SINAI MEDICAL CENTER,,LOS ANGELES,CA,1166667,,,WOMEN'S LUNG CANCER INITIATIVE,https://projects.propublica.org/nonprofits/full_text/202543219349108909/IRS990PF
The Annenberg Foundation,2024,990-PF-XV,BROWN UNIVERSITY OF PROVIDENCE,,PROVIDENCE,RI,833333,,,LINDEMANN PERFORMING ARTS CENTER AT BROWN UNIVERSITY,https://projects.propublica.org/nonprofits/full_text/202543219349108909/IRS990PF
The Annenberg Foundation,2024,990-PF-XV,LOS ANGELES OPERA COMPANY,,LOS ANGELES,CA,750000,,,GENERAL PRODUCTION BUDGET,https://projects.propublica.org/nonprofits/full_text/202543219349108909/IRS990PF
The Annenberg Foundation,2024,990-PF-XV,UTAH FILM CENTER DBA SALT LAKE CITY FILM CENTER AND,,SALT LAKE CITY,UT,700000,,,TO SUPPORT THE 5TH EPISODE OF SOCIAL STUDIES,https://projects.propublica.org/nonprofits/full_text/202543219349108909/IRS990PF
