ein,name,city,state,ntee,subsection,ruling,year,form,total_revenue,total_expenses,contributions,program_revenue,investment_income,total_assets,total_liabilities,pdf,error
954776451,Gentle Barn Foundation,Santa Clarita,CA,D60,3,2000-03-01,2023,990,4409931,4776143,3011554,1262735,6887,3383087,418627,,
954776451,Gentle Barn Foundation,Santa Clarita,CA,D60,3,2000-03-01,2022,990,4498384,4368819,3239031,932980,2888,3819719,489047,,
954776451,Gentle Barn Foundation,Santa Clarita,CA,D60,3,2000-03-01,2021,990,3999970,3320372,2439760,537706,16,3442306,241199,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F954776451_202112_990_2023011020750814.pdf,
954776451,Gentle Barn Foundation,Santa Clarita,CA,D60,3,2000-03-01,2020,990,2698193,3077510,2440599,234450,63,3071525,550016,,
954776451,Gentle Barn Foundation,Santa Clarita,CA,D60,3,2000-03-01,2019,990,3513525,3424352,2929894,454649,25,3261059,360233,https://projects.propublica.org/nonprofits/download-filing?path=01_2021_prefixes_95-99%2F954776451_201912_990_2021012117619061.pdf,
954776451,Gentle Barn Foundation,Santa Clarita,CA,D60,3,2000-03-01,2018,990,3794257,3314914,3523905,201562,171,2996114,184461,https://projects.propublica.org/nonprofits/download-filing?path=10_2019_prefixes_95-99%2F954776451_201812_990_2019102816788664.pdf,
954776451,Gentle Barn Foundation,Santa Clarita,CA,D60,3,2000-03-01,2017,990,3253485,2471832,2907035,322450,121,2468302,135992,https://projects.propublica.org/nonprofits/download-filing?path=10_2018_prefixes_94-95%2F954776451_201712_990_2018101915812819.pdf,
954776451,Gentle Barn Foundation,Santa Clarita,CA,D60,3,2000-03-01,2016,990,2419889,2505337,2144640,232938,33,1791962,241305,https://projects.propublica.org/nonprofits/download-filing?path=12_2017_prefixes_94-99%2F954776451_201612_990_2017120114998768.pdf,
954776451,Gentle Barn Foundation,Santa Clarita,CA,D60,3,2000-03-01,2015,990,2003365,1953170,1739428,252376,49,1793515,157410,https://projects.propublica.org/nonprofits/download-filing?path=2017_01_EO%2F95-4776451_990_201512.pdf,
954776451,Gentle Barn Foundation,Santa Clarita,CA,D60,3,2000-03-01,2014,990,1824825,1705957,1469501,329696,88,1703686,121033,https://projects.propublica.org/nonprofits/download-filing?path=2016_01_EO%2F13-136719_91390_954776451.pdf,
954776451,Gentle Barn Foundation,Santa Clarita,CA,D60,3,2000-03-01,2013,990,1742382,1780065,1531013,207661,28,1621527,157742,https://projects.propublica.org/nonprofits/download-filing?path=2014_12_EO%2F95-4776451_990_201312.pdf,
954776451,Gentle Barn Foundation,Santa Clarita,CA,D60,3,2000-03-01,2012,990,1592592,1584293,1538998,53074,26,1553649,52181,https://projects.propublica.org/nonprofits/download-filing?path=2014_01_EO%2F95-4776451_990_201212.pdf,
954776451,Gentle Barn Foundation,Santa Clarita,CA,D60,3,2000-03-01,2011,990,1297412,1362568,1229056,39375,209,1493169,0,https://projects.propublica.org/nonprofits/download-filing?path=2012_12_EO%2F95-4776451_990_201112.pdf,
954776451,Gentle Barn Foundation,Santa Clarita,CA,D60,3,2000-03-01,2010,990,1120247,948838,1112280,18850,71,1558326,0,https://projects.propublica.org/nonprofits/download-filing?path=2012_12_EO%2F95-4776451_990_201012.pdf,
464050562,Kindred Spirits Care Farm,Chatsworth,CA,P20,3,2014-08-01,2023,990,198114,162539,198114,0,0,1481009,1335000,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F464050562_202312_990_2025020623077808.pdf,
464050562,Kindred Spirits Care Farm,Chatsworth,CA,P20,3,2014-08-01,2022,990,223320,172141,223320,0,0,1470434,1360000,,
464050562,Kindred Spirits Care Farm,Chatsworth,CA,P20,3,2014-08-01,2021,990,169168,180738,162803,6365,0,1360065,1320000,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F464050562_202112_990_2023030921067742.pdf,
464050562,Kindred Spirits Care Farm,Chatsworth,CA,P20,3,2014-08-01,2020,990,113488,165065,111445,186,0,1313570,1260000,https://projects.propublica.org/nonprofits/download-filing?path=05_2021_prefixes_46-46%2F464050562_202012_990_2021052618200055.pdf,
464050562,Kindred Spirits Care Farm,Chatsworth,CA,P20,3,2014-08-01,2019,990,90617,130999,90617,0,0,1230115,0,https://projects.propublica.org/nonprofits/download-filing?path=09_2020_prefixes_46-46%2F464050562_201912_990_2020091817311163.pdf,
464050562,Kindred Spirits Care Farm,Chatsworth,CA,P20,3,2014-08-01,2018,990-EZ,76038,57839,,,,70497,0,https://projects.propublica.org/nonprofits/download-filing?path=05_2019_prefixes_46-46%2F464050562_201812_990EZ_2019052316336957.pdf,
831021900,Sanctuary Animal Assisted Therapy,Canyon Cntry,CA,D20,3,2019-04-01,2023,990-EZ,143333,125569,,,,17775,93422,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F831021900_202312_990EZ_2025040823305989.pdf,
831021900,Sanctuary Animal Assisted Therapy,Canyon Cntry,CA,D20,3,2019-04-01,2022,990-EZ,95250,98677,,,,1,93411,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_12_2023_prefixes_82-83%2F831021900_202212_990EZ_2023121422118485.pdf,
831021900,Sanctuary Animal Assisted Therapy,Canyon Cntry,CA,D20,3,2019-04-01,2021,990-EZ,62867,132843,,,,1641,71425,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F831021900_202112_990EZ_2023051721258754.pdf,
831021900,Sanctuary Animal Assisted Therapy,Canyon Cntry,CA,D20,3,2019-04-01,2020,990-EZ,77270,71158,,,,6112,0,https://projects.propublica.org/nonprofits/download-filing?path=06_2021_prefixes_82-83%2F831021900_202012_990EZ_2021060318255038.pdf,
