funder,tax_year,schedule,recipient,recipient_ein,city,state,amount,amount_noncash,noncash_desc,purpose,source
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,THE JEWISH FEDERATIONS OF NORTH AMERICA UJC,13-1624240,NEW YORK,NY,15333970,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,JEWISH FAMILY SERVICE OF LOS ANGELES,95-1691013,LOS ANGELES,CA,3727000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,BIRTHRIGHT ISRAEL FOUNDATION,13-4092050,NEW YORK,NY,1243009,0,,SCHOLARSHIPS/STIPENDS GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,CAMP RAMAH IN CALIFORNIA INC,95-1843131,ENCINO,CA,704556,0,,CAMPERSHIPS SCHOLARSHIPS/STIPENDS GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,UNION OF ORTHODOX JEWISH CONGREGATIONS OF AMERICA DBA TEACH CALIFORNIA,13-5623717,NEW YORK,NY,642100,0,,SCHOLARSHIPS/STIPENDS GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,SHALOM INSTITUTE CAMP AND CONFERENCE CENTER,84-1652923,WESTLAKE VILLAGE,CA,578596,0,,CAMPERSHIPS SCHOLARSHIPS/STIPENDS GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,BUILDERS OF JEWISH EDUCATION,95-4280178,LOS ANGELES,CA,555456,0,,GRANT EXPENSE STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,JEWISH COMMUNITY FOUNDATION,95-6111928,LOS ANGELES,CA,525000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,ETTA ISRAEL CENTER,95-4308644,NORTH HOLLYWOOD,CA,441000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,BET TZEDEK LEGAL SERVICES,23-7304205,LOS ANGELES,CA,380000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,AMERICAN JEWISH UNIVERSITY,95-1684064,LOS ANGELES,CA,351568,0,,CAMPERSHIPS SCHOLARSHIPS/STIPENDS GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,JEWISH BIG BROTHERS BIG SISTERS,95-1691009,LOS ANGELES,CA,337096,0,,CAMPERSHIPS SCHOLARSHIPS/STIPENDS GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,KAVODENSURING DIGNITY FOR HOLOCAUST SURVIVORS,47-5495289,MEMPHIS,TN,300000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,TOUCH OF KINDNESS INC,75-3002144,LOS ANGELES,CA,300000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,JEWISH VOCATIONAL SERVICE,95-1691012,LOS ANGELES,CA,275000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,WILSHIRE BOULEVARD TEMPLE,95-1691339,LOS ANGELES,CA,248597,0,,CAMPERSHIPS SCHOLARSHIPS/STIPENDS GRANT EXPENSE STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,FRIENDSHIP CIRCLE OF LOS ANGELES,20-3270890,LOS ANGELES,CA,224840,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,USC HILLEL,95-4867366,LOS ANGELES,CA,212075,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,MILKEN COMMUNITY SCHOOL,95-4381008,LOS ANGELES,CA,193893,0,,GRANT EXPENSE STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,WESTSIDE JEWISH COMMUNITY CENTER,95-1691010,LOS ANGELES,CA,186500,0,,GRANT EXPENSE STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,BEIT T'SHUVAH,77-0152646,LOS ANGELES,CA,182000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,JQ INTERNATIONAL,68-0601176,WEST HOLLYWOOD,CA,180210,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,THE WEXNER FOUNDATION,23-7320631,NEW ALBANY,OH,175000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,VALLEY BETH SHALOM,95-1890769,ENCINO,CA,170187,0,,GRANT EXPENSE STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,YULA HIGH SCHOOL,42-1746735,LOS ANGELES,CA,165483,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,HILLEL AT UCLA,46-0573247,LOS ANGELES,CA,155000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,HILLEL 818,46-0893850,NORTHRIDGE,CA,150000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,CHAI LIFELINE INC,11-2940331,NEW YORK,NY,145000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,DE TOLEDO HIGH SCHOOL,95-4805188,WEST HILLS,CA,144013,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,PRESSMAN ACADEMY OF TEMPLE BETH AM,95-1656370,LOS ANGELES,CA,142172,0,,GRANT EXPENSE STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,STEPHEN S WISE TEMPLE,95-6087552,GRANADA HILLS,CA,127138,0,,GRANT EXPENSE STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,ABRAHAM JOSHUA HESCHEL DAY SCHOOL,95-2794822,NORTHRIDGE,CA,125999,0,,GRANT EXPENSE STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,SOCIAL GOOD FUND INC,46-1353132,RICHMOND,CA,125000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,THE MAPLE COUSELING CENTER,95-2753118,LOS ANGELES,CA,125000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,SINAI AKIBA ACADEMY,95-2103898,LOS ANGELES,CA,117461,0,,GRANT EXPENSE STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,VALLEY TORAH HIGH SCHOOL,95-3165544,VALLEY VILLAGE,CA,114544,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,AISH TAMID OF LOS ANGELES,90-0086051,LOS ANGELES,CA,105000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,ONE TABLE,46-4715368,NEW YORK,NY,105000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,HONEYMOON ISRAEL FOUNDATION,47-1291052,ATLANTA,GA,102000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,AID COALITION,93-1616002,WYNNEWOOD,PA,100000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,OPENDOR MEDIA,26-1264680,SUNRISE,FL,100000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,RIMON CLUB INC,46-1334084,SAN FRANCISCO,CA,100000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,HARKHAM HILLEL HEBREW ACADEMY,95-1662972,BEVERLY HILLS,CA,94090,0,,GRANT EXPENSE STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,FJC - A FOUNDATION OF PHILANTHROPIC FUNDS,13-3848582,NEW YORK,NY,93100,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,EMEK HEBREW ACADEMY,95-6006492,SHERMAN OAKS,CA,84262,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,MAOR ACADEMY LA INC,82-4042330,LOS ANGELES,CA,80000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,CROSS CULTURAL EXPRESSIONS,47-2372275,SHERMAN OAKS,CA,75000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,FOUNDATION FOR JEWISH CAMP INC,22-3551013,NEW YORK,NY,75000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
