funder,tax_year,schedule,recipient,recipient_ein,city,state,amount,amount_noncash,noncash_desc,purpose,source
Ralph M Parsons Foundation,2024,990-PF-XV,THE COLBURN SCHOOL,,LOS ANGELES,CA,500000,,,OVER THREE YEARS FOR SUPPORT OF THE CAMPUS EXPANSION PROJECT,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,THE PEOPLE CONCERN,,LOS ANGELES,CA,300000,,,OVER TWO YEARS FOR GENERAL SUPPORT OF HOMELESS SERVICES,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,SEED SCHOOL OF LOS ANGELES COUNTY,,LOS ANGELES,CA,250000,,,FOR CAPITAL SUPPORT TO CONSTRUCT THE SEED SCHOOL OF LOS ANGELES COUNTY,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,PASADENA CONSERVATORY OF MUSIC,,PASADENA,CA,250000,,,OVER TWO YEARS TO CONSTRUCT A NEW MUSIC LEARNING CENTER AND OUTDOOR AMPHITHEATER,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,PEOPLE ASSISTING THE HOMELESS,,LOS ANGELES,CA,200000,,,OVER TWO YEARS FOR GENERAL SUPPORT OF HOUSING AND HOMELESS SERVICES IN LOS ANGELES COUNTY,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,PROJECT ANGEL FOOD,,LOS ANGELES,CA,200000,,,OVER TWO YEARS FOR THE CAMPUS EXPANSION PROJECT,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,PROJECT ANGEL FOOD,,LOS ANGELES,CA,200000,,,OVER TWO YEARS FOR THE CAMPUS EXPANSION PROJECT,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,PEOPLE ASSISTING THE HOMELESS,,LOS ANGELES,CA,200000,,,OVER TWO YEARS FOR GENERAL SUPPORT OF HOUSING AND HOMELESS SERVICES IN LOS ANGELES COUNTY,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,SOUTHERN CALIFORNIA GRANTMAKERS,,LOS ANGELES,CA,200000,,,OVER TWO YEARS FOR GENERAL SUPPORT OF STRATEGIC RESTRUCTURING AND EXECUTIVE TRANSITION,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,LIBERTY HILL FOUNDATION,,LOS ANGELES,CA,200000,,,OVER TWO YEARS TO SUPPORT CAPACITY BUILDING FOR YOUTH DEVELOPMENT PROGRAMS,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,PUBLIC MEDIA GROUP OF SOUTHERN CALIFORNIA,,BURBANK,CA,200000,,,FOR CAPITAL SUPPORT OF STUDIO RENOVATIONS AND EQUIPMENT IN LOS ANGELES COUNTY,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,UNION RESCUE MISSION,,LOS ANGELES,CA,150000,,,FOR GENERAL SUPPORT OF HOUSING AND SUPPORTIVE SERVICES FOR PEOPLE EXPERIENCING HOMELESSNESS,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,PARA LOS NINOS,,LOS ANGELES,CA,150000,,,FOR GENERAL SUPPORT OF SCHOOLS AND FAMILY SERVICE PROGRAMS,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,SOUTHERN CALIFORNIA CENTER FOR NONPROFIT MANAGEMENT,,LOS ANGELES,CA,150000,,,OVER TWO YEARS FOR GENERAL SUPPORT OF NONPROFIT CAPACITY BUILDING SERVICES IN LOS ANGELES COUNTY,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,BOYS AND GIRLS CLUBS OF THE LOS ANGELES HARBOR,,SAN PEDRO,CA,150000,,,FOR GENERAL SUPPORT OF YOUTH DEVELOPMENT PROGRAMS,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,CHILDRENS INSTITUTE INC,,LOS ANGELES,CA,150000,,,FOR GENERAL SUPPORT OF SERVICES FOR CHILDREN AND FAMILIES,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,THE WENDE MUSEUM OF THE COLD WAR INC,,CULVER CITY,CA,150000,,,FOR CAPITAL SUPPORT OF THE CREATIVE COMMUNITY CENTER,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,THE CLINIC INC (DBA THE HEALTH AND WELLNESS CENTERS),,LOS ANGELES,CA,150000,,,TO RENOVATE AND EXPAND THE LENNOX HEALTH CENTER,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,HEART OF LOS ANGELES YOUTH INC,,LOS ANGELES,CA,150000,,,OVER TWO YEARS FOR GENERAL SUPPORT OF EXPANDING YOUTH DEVELOPMENT PROGRAMS,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,MOUNT SAINT MARYS UNIVERSITY,,LOS ANGELES,CA,150000,,,OVER TWO YEARS FOR CAPITAL SUPPORT TO CONSTRUCT THE CHALON WELLNESS PAVILION,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,BLIND CHILDRENS CENTER INC,,LOS ANGELES,CA,150000,,,FOR RENOVATIONS TO THE EARLY CHILDHOOD CENTER,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,HEART OF LOS ANGELES YOUTH INC,,LOS ANGELES,CA,150000,,,OVER TWO YEARS FOR GENERAL SUPPORT OF EXPANDING YOUTH DEVELOPMENT PROGRAMS,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,A PLACE CALLED HOME,,LOS ANGELES,CA,150000,,,FOR GENERAL SUPPORT OF YOUTH DEVELOPMENT PROGRAMS,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,LOS ANGELES PHILHARMONIC ASSOCIATION,,LOS ANGELES,CA,125000,,,FOR GENERAL SUPPORT OF MUSIC AND EDUCATION PROGRAMS,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,MUSE-IQUE,,PASADENA,CA,125000,,,FOR GENERAL SUPPORT OF MUSICAL EVENTS AND COMMUNITY ENGAGEMENT PROGRAMS,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,SOUTHERN CALIFORNIA PUBLIC RADIO,,PASADENA,CA,125000,,,FOR GENERAL SUPPORT OF PUBLIC SERVICE JOURNALISM AND CIVIC PROGRAMS IN LOS ANGELES COUNTY,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,THE ACTORS' FUND OF AMERICA (DBA ENTERTAINMENT COMMUNITY FUND),,LOS ANGELES,CA,125000,,,OVER TWO YEARS FOR CAPITAL SUPPORT OF COMMUNITY SPACES IN THE HOLLYWOOD ARTS COLLECTIVE HOUSING COMPLEX,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,INNER CITY LAW CENTER,,LOS ANGELES,CA,125000,,,FOR GENERAL SUPPORT OF LEGAL SERVICES,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,PUBLIC COUNSEL,,LOS ANGELES,CA,100000,,,FOR GENERAL SUPPORT OF PRO BONO LEGAL SERVICES,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,PERFORMING ARTS CENTER OF LOS ANGELES COUNTY (DBA THE MUSIC CENTER),,LOS ANGELES,CA,100000,,,OVER TWO YEARS FOR GENERAL SUPPORT OF ARTS AND COMMUNITY PROGRAMS,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,PERFORMING ARTS CENTER OF LOS ANGELES COUNTY (DBA THE MUSIC CENTER),,LOS ANGELES,CA,100000,,,OVER TWO YEARS FOR GENERAL SUPPORT OF ARTS AND COMMUNITY PROGRAMS,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,PLANNED PARENTHOOD LOS ANGELES,,LOS ANGELES,CA,100000,,,FOR GENERAL SUPPORT OF HEALTH CARE SERVICES,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
Ralph M Parsons Foundation,2024,990-PF-XV,YOUNG MENS CHRISTIAN ASSOCIATION OF METROPOLITAN LOS ANGELES,,LOS ANGELES,CA,100000,,,FOR GENERAL SUPPORT OF COMMUNITY AND YOUTH DEVELOPMENT PROGRAMS,https://projects.propublica.org/nonprofits/full_text/202502959349100825/IRS990PF
