funder,tax_year,schedule,recipient,recipient_ein,city,state,amount,amount_noncash,noncash_desc,purpose,source
Petco Love,2025,990-SchI,AUSTIN PETS ALIVE,74-2893360,AUSTIN,TX,1501500,120,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,BETTERTOGETHER FOREVER,20-1329182,GLENDALE,CA,545000,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,BRANDYWINE VALLEY SPCA,23-1381030,WEST CHESTER,PA,327000,8538,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,CHARLESTON ANIMAL SOCIETY,57-6021863,NORTH CHARLESTON,SC,275000,6,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,JACKSONVILLE HUMANE SOCIETY,59-0624410,JACKSONVILLE,FL,180900,56,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,HUMANE SOCIETY OF NORTH TEXAS,75-1245911,FORT WORTH,TX,159368,13219,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,LOS ANGELES ANIMAL SERVICES,95-6000735,LOS ANGELES,CA,150000,11427,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,UNIVERSITY OF WISCONSIN FOUNDATION,39-0743975,MADISON,WI,150000,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,UNIVERSITY OF FLORIDA FOUNDATION,59-0974739,GAINESVILLE,FL,145000,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,CITY OF EL PASO ANIMAL SERVICES,74-6000749,EL PASO,TX,142100,9975,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
